JDTDB, Calendar Date (TDB), X, Y, Z, VX, VY, VZ
2459845.500000000, A.D. 2022-Sep-23 00:00:00.0000, -1.014319519875520E+08,  3.525562675248842E+07,  6.336848441954914E+06, -1.166353075744313E+01, -3.324015683726970E+01,  2.166808353747829E-01
2459846.500000000, A.D. 2022-Sep-24 00:00:00.0000, -1.023991898725976E+08,  3.237003052472993E+07,  6.353045878019737E+06, -1.072479530799986E+01, -3.355160759449309E+01,  1.582377504328925E-01
