JDTDB, Calendar Date (TDB), X, Y, Z, VX, VY, VZ
2459865.500000000, A.D. 2022-Oct-13 00:00:00.0000, -1.048506681012319E+08, -2.488511329338031E+07, -4.563553969672803E+06,  7.785752602857912E+00, -3.105621466177069E+01, -1.446663829965234E+01
2459866.500000000, A.D. 2022-Oct-14 00:00:00.0000, -1.041366868966898E+08, -2.755819601775024E+07, -5.811506039428608E+06,  8.740422584925055E+00, -3.081665032830325E+01, -1.441924492200756E+01
2459867.500000000, A.D. 2022-Oct-15 00:00:00.0000, -1.033405356454847E+08, -3.020953382861207E+07, -7.054872582650502E+06,  9.687712021233366E+00, -3.055289769318620E+01, -1.436050082198613E+01
2459868.500000000, A.D. 2022-Oct-16 00:00:00.0000, -1.024628843147620E+08, -3.283704685449642E+07, -8.292675352666030E+06,  1.062687480624325E+01, -3.026519136055768E+01, -1.429046435587967E+01
2459869.500000000, A.D. 2022-Oct-17 00:00:00.0000, -1.015044669892325E+08, -3.543867631234733E+07, -9.523941535025388E+06,  1.155717294124183E+01, -2.995378483699029E+01, -1.420920289838089E+01
2459870.500000000, A.D. 2022-Oct-18 00:00:00.0000, -1.004660811453493E+08, -3.801238612829275E+07, -1.074770452271826E+07,  1.247787712008712E+01, -2.961895024198186E+01, -1.411679274937039E+01
2459871.500000000, A.D. 2022-Oct-19 00:00:00.0000, -9.934858687541610E+07, -4.055616453276794E+07, -1.196300468301762E+07,  1.338826730239836E+01, -2.926097800387710E+01, -1.401331903334827E+01
2459872.500000000, A.D. 2022-Oct-20 00:00:00.0000, -9.815290606272881E+07, -4.306802562875786E+07, -1.316889011532519E+07,  1.428763327379287E+01, -2.888017654179828E+01, -1.389887559174933E+01
2459873.500000000, A.D. 2022-Oct-21 00:00:00.0000, -9.688002150888640E+07, -4.554601093197111E+07, -1.436441739941233E+07,  1.517527519274266E+01, -2.847687193402942E+01, -1.377356486831176E+01
2459874.500000000, A.D. 2022-Oct-22 00:00:00.0000, -9.553097601444681E+07, -4.798819088180022E+07, -1.554865233346626E+07,  1.605050412369684E+01, -2.805140757358598E+01, -1.363749778781416E+01
2459875.500000000, A.D. 2022-Oct-23 00:00:00.0000, -9.410687141412157E+07, -5.039266632198998E+07, -1.672067066138140E+07,  1.691264255618893E+01, -2.760414381141432E+01, -1.349079362836062E+01
2459876.500000000, A.D. 2022-Oct-24 00:00:00.0000, -9.260886756774142E+07, -5.275756994995964E+07, -1.787955878874358E+07,  1.776102490954002E+01, -2.713545758776191E+01, -1.333357988743351E+01
